# Channel Size, LipKernel Time
1.000000000000000000e+01,1.663732528686523438e+00
2.000000000000000000e+01,1.536679267883300781e+00
5.000000000000000000e+01,1.972126960754394753e+00
1.000000000000000000e+02,1.562356948852539062e+00
1.500000000000000000e+02,3.487110137939453125e-01
2.000000000000000000e+02,3.615999221801757812e+00
2.500000000000000000e+02,2.510905265808105469e+00
3.000000000000000000e+02,8.162021636962890625e+00
3.500000000000000000e+02,8.432865142822265625e+00
4.000000000000000000e+02,1.429095268249511719e+01
4.500000000000000000e+02,1.474692821502685547e+01
5.000000000000000000e+02,1.912828445434570312e+02
