# Channel Size, Orthogon Time
1.000000000000000000e+01,6.060004234313964844e+00
2.000000000000000000e+01,1.274607181549072266e+01
5.000000000000000000e+01,1.077033996582031250e+02
1.000000000000000000e+02,2.988232374191284180e+02
1.500000000000000000e+02,8.044958829879760742e+02
2.000000000000000000e+02,1.318449473381042480e+03
2.500000000000000000e+02,2.105979681015014648e+03
3.000000000000000000e+02,2.962594962120056152e+03
3.500000000000000000e+02,4.330229115486145020e+03
4.000000000000000000e+02,6.482218098640441895e+03
4.500000000000000000e+02,8.167563223838806152e+03
5.000000000000000000e+02,1.787696590423583984e+04
