# Channel Size, Sandwich Time
1.000000000000000000e+01,1.355612277984619141e+01
2.000000000000000000e+01,2.296278476715087891e+01
5.000000000000000000e+01,2.543885707855224609e+02
1.000000000000000000e+02,7.683663606643676758e+02
1.500000000000000000e+02,2.105106449127197266e+03
2.000000000000000000e+02,3.687183737754821777e+03
2.500000000000000000e+02,5.958138155937194824e+03
3.000000000000000000e+02,9.361035084724426270e+03
3.500000000000000000e+02,1.256222467422485352e+04
4.000000000000000000e+02,1.612313940525054750e+04
4.500000000000000000e+02,1.969259889125823975e+04
5.000000000000000000e+02,2.460752477645874023e+04
