Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Cert Acc1;Cert Acc 2;Cert Acc 3;
Vanilla2C2F,Vanilla2C2F,1,20,21.998472213745117,193.395754784716,99.03,97.76,95.14,89.0;;;;;;;;;;
Lip2C2F,LipC2F,1,20,1.0,0.9486182868509871,96.61,95.55,94.13,92.57;;;;;;;;;;
All2C2F,Orthogon,1,20,1.0,0.9506211458688589,94.59,92.86,90.9,88.42;;;;;;;;;;
Vanilla2C2F,Vanilla2C2F,1,1,9.765705481396783,5.325446834531987,91.18,74.35,42.34,14.17;;;;;;;;;;
Vanilla2C2F,Vanilla2C2F,1,20,21.998555656821335,201.5152463990008,99.04,97.9,94.8,87.05;;;;;;;;;;
Lip2C2F,LipC2F,1,20,1.0,0.9486182868509871,96.61,95.55,94.13,92.57;;;;;;;;;;
All2C2F,Orthogon,1,20,1.0,0.9506211458688589,94.59,92.86,90.9,88.42;;;;;;;;;;
All2C2F,Sandwich,1,20,1.0,0.9261172686776862,97.27,96.34,95.26,93.81;;;;;;;;;;
Lip2C2FPool,LipC2FPool,1,20,1.0,0.912025888939283,94.4,92.31,89.56,86.32;;;;;;;;;;
AOL2C2F,AOL2C2F,1,20,1.0,0.9353505607531113,88.7,85.57,81.64,77.08;;;;;;;;;;
Vanilla2C2F,Vanilla2C2F,296,20,30.810574237356526,234.75204671631727,99.12,97.29,92.46,78.05;;;;;;;;;;
Lip2C2F,LipC2F,296,20,1.0,0.9468099225534385,96.62,95.58,94.34,92.56;;;;;;;;;;
All2C2F,Orthogon,296,20,1.0,0.9629880225267595,94.59,93.04,91.14,88.38;;;;;;;;;;
All2C2F,Sandwich,296,20,1.0,0.9223758177665108,97.25,96.31,94.98,93.63;;;;;;;;;;
Vanilla2C2F,Vanilla2C2F,123,20,24.862889246066356,202.36458628240763,99.06,97.67,94.58,86.9;;;;;;;;;;
Lip2C2F,LipC2F,123,20,1.0,0.9503367868548257,96.69,95.72,94.36,92.69;;;;;;;;;;
All2C2F,Orthogon,123,20,1.0,0.9669512692868475,94.47,92.86,90.94,88.23;;;;;;;;;;
All2C2F,Sandwich,123,20,1.0,0.8946565765142552,97.31,96.35,95.29,93.8;;;;;;;;;;
Lip2C2FPool,LipC2FPool,123,20,1.0,0.6257623791081697,89.19,84.32,77.53,69.29;;;;;;;;;;
AOL2C2F,AOL2C2F,123,20,1.0,0.9361352523749631,88.59,85.21,81.46,76.84;;;;;;;;;;
Vanilla2C2F,Vanilla2C2F,296,20,30.810574237356526,234.75204671631727,99.12,97.29,92.46,78.05;;;;;;;;;;
Lip2C2F,LipC2F,296,20,1.0,0.9540388385376313,96.51,95.51,94.21,92.6;;;;;;;;;;
All2C2F,Orthogon,296,20,1.0,0.9629880225267595,94.59,93.04,91.14,88.38;;;;;;;;;;
All2C2F,Sandwich,296,20,1.0,0.9223758177665108,97.25,96.31,94.98,93.63;;;;;;;;;;
Lip2C2FPool,LipC2FPool,296,20,1.0,0.7296417369011027,91.15,87.22,82.37,76.14;;;;;;;;;;
AOL2C2F,AOL2C2F,296,20,1.0,0.9077818190729691,88.79,85.62,81.97,77.53;;;;;;;;;;
Vanilla2C2F,Vanilla2C2F,1,20,21.998555656821335,201.5152463990008,99.04,97.9,94.8,87.05;;;;;;;;;;
Lip2C2F,LipC2F,1,20,1.0,0.9508332701395221,96.62,95.68,94.29,92.57;;;;;;;;;;
All2C2F,Orthogon,1,20,1.0,0.9506211458688589,94.59,92.86,90.9,88.42;;;;;;;;;;
All2C2F,Sandwich,1,20,1.0,0.9261172686776862,97.27,96.34,95.26,93.81;;;;;;;;;;
Lip2C2FPool,LipC2FPool,1,20,1.0,0.9221373362585408,94.27,92.4,89.39,86.4;;;;;;;;;;
AOL2C2F,AOL2C2F,1,20,1.0,0.9353505607531113,88.7,85.57,81.64,77.08;;;;;;;;;;
"Vanilla2C2F,Vanilla2C2F,123,1,""tensor(10.5641, grad_fn=<MulBackward0>)"",5.83201522467239,91.08,73.07,39.72,12.88";;;;;;;;;;
Lip2C2F,LipC2F,123,1,1.0,0.554094427343179,84.28,77.02,68.33,59.8;;;;;;;;;;
"Vanilla2C2FPool,Vanilla2C2FPool,123,1,""tensor(17.3371, grad_fn=<MulBackward0>)"",5.659962147292954,92.52,57.87,11.66,0.59";;;;;;;;;;
"Vanilla2C2F,Vanilla2C2F,123,1,""tensor(10.5655, grad_fn=<MulBackward0>)"",5.83201522467239,91.08,73.06,39.69,12.86";;;;;;;;;;
"Vanilla2C2FPool,Vanilla2C2FPool,123,1,""tensor(17.3371, grad_fn=<MulBackward0>)"",5.659962147292954,92.52,57.87,11.66,0.59";;;;;;;;;;
"Vanilla2C2F,Vanilla2C2F,123,1,""tensor(10.5655, grad_fn=<MulBackward0>)"",5.83201522467239,91.08,73.06,39.69,12.86";;;;;;;;;;
"Vanilla2C2FPool,Vanilla2C2FPool,123,20,""tensor(54.1562, grad_fn=<MulBackward0>)"",145.96805087072994,99.26,91.73,54.7,17.68";;;;;;;;;;
"FCModel,FCModel,123,5,""tensor(11.1009, grad_fn=<MulBackward0>)"",21.84282441149689,97.57,93.53,81.88,57.51";;;;;;;;;;
"FCModel,FCModel,296,5,""tensor(9.4974, grad_fn=<MulBackward0>)"",24.47176680596374,97.56,94.45,86.77,69.4";;;;;;;;;;
"FCModel,FCModel,1,5,""tensor(9.5106, grad_fn=<MulBackward0>)"",22.998588186968128,97.51,94.59,86.97,69.57";;;;;;;;;;
"FCModel,FCModel,123,1,""tensor(2.2968, grad_fn=<MulBackward0>)"",1.9100218805587692,88.42,82.03,73.35,62.15";;;;;;;;;;
"FCModel,FCModel,296,1,""tensor(2.1229, grad_fn=<MulBackward0>)"",1.8967409441615988,88.45,82.36,74.6,64.59";;;;;;;;;;
"FCModel,FCModel,1,1,""tensor(2.3273, grad_fn=<MulBackward0>)"",2.0694944672935685,88.69,82.66,74.16,63.65";;;;;;;;;;
"FCModel,FCModel,123,2,""tensor(16.5937, grad_fn=<MulBackward0>)"",12.502436286017918,95.7,76.93,25.94,3.3";;;;;;;;;;
"FCModel,FCModel,296,2,""tensor(14.1772, grad_fn=<MulBackward0>)"",11.32570084514813,95.17,78.9,34.38,6.59";;;;;;;;;;
"FCModel,FCModel,1,2,""tensor(13.9404, grad_fn=<MulBackward0>)"",10.204101141930439,95.26,80.35,37.76,9.08";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(17.3720, grad_fn=<MulBackward0>)"",16.466311192761875,96.84,82.79,34.99,5.98";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(15.3156, grad_fn=<MulBackward0>)"",17.26015626768094,97.0,86.1,49.02,12.78";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(14.6044, grad_fn=<MulBackward0>)"",15.726073968598149,96.79,86.62,51.28,13.59";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(13.9349, grad_fn=<MulBackward0>)"",14.679741551257596,92.99,75.69,36.65,12.98";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(14.0192, grad_fn=<MulBackward0>)"",15.263530794493557,92.93,75.79,35.55,12.09";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(15.0258, grad_fn=<MulBackward0>)"",14.584122874367468,92.91,73.0,29.81,8.59";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(17.3720, grad_fn=<MulBackward0>)"",16.44553703825334,96.84,82.79,34.99,5.98";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(15.3156, grad_fn=<MulBackward0>)"",17.495290067916763,97.0,86.1,49.02,12.78";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(14.6044, grad_fn=<MulBackward0>)"",15.856926188713148,96.79,86.62,51.28,13.59";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851099879281,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.564041358935546,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851099879281,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.564041358935546,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851099879281,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.564041358935546,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",0.9601027111400988,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",0.8966790280914042,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",0.9412109995610616,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.639375736636326,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.4199054232839465,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.56173475192671,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152954583608,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851613861182,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.563894852559505,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(5.6223, grad_fn=<MulBackward0>)"",7.641152205737693,92.64,86.89,77.38,60.81";;;;;;;;;;
"FCModel,FCModel,296,3,""tensor(5.3721, grad_fn=<MulBackward0>)"",7.421851613861182,92.71,87.16,78.19,63.15";;;;;;;;;;
"FCModel,FCModel,1,3,""tensor(5.4172, grad_fn=<MulBackward0>)"",7.563895356889247,92.69,87.1,77.72,62.33";;;;;;;;;;
"FCModel,FCModel,123,3,""tensor(7.6426, grad_fn=<MulBackward0>)"",7.641788947882205,92.71,83.89,65.93,38.22";;;;;;;;;;
