Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Adv 1;Adv2;Adv3;;;;;;
Vanilla2C2F;Vanilla2C2F;1;10;1;105.1061498;0.99059999;0.691200018;0.317900002;0.289000005;;;;;;
All2C2F;Aol;1;10;1;0.229289326;0.793500006;0.627799988;0.469500005;0.441199988;;;;;;
All2C2F;Orthogon;1;10;1;0.967244763;0.941299975;0.827899992;0.640600026;0.591600001;;;;;;
All2C2F;Sandwich;1;10;1;0.912588414;0.971000016;0.901600003;0.759199977;0.717299998;;;;;;
Lip2C2F;LipC2F;1;10;1;0.950890031;0.967299998;0.88499999;0.720000029;0.671000004;;;;;;
All2C2F;Aol;123;10;1;0.223865238;0.791800022;0.633400023;0.474400014;0.446099997;;;;;;
All2C2F;Orthogon;123;10;1;0.972164229;0.941200018;0.82889998;0.639100015;0.59009999;;;;;;
All2C2F;Sandwich;123;10;1;0.922273324;0.970300019;0.9005;0.761500001;0.718400002;;;;;;
Lip2C2F;LipC2F;123;10;1;0.953652002;0.968100011;0.886699975;0.720099986;0.67750001;;;;;;
All2C2F;Aol;296;10;1;0.231096294;0.789600015;0.620700002;0.467799991;0.437999994;;;;;;
All2C2F;Orthogon;296;10;1;0.971611074;0.943400025;0.834999979;0.650200009;0.600600004;;;;;;
All2C2F;Sandwich;296;10;1;0.937362025;0.969399989;0.896600008;0.750100017;0.707799971;;;;;;
Lip2C2F;LipC2F;296;10;1;0.960367142;0.966000021;0.876900017;0.708500028;0.664399981;;;;;;
All2C2F;Aol;1;10;2;0.468664336;0.818199992;0.642700016;0.477100015;0.447899997;;;;;;
All2C2F;Orthogon;1;10;2;1.76429131;0.9745;0.881200016;0.639400005;0.561600029;;;;;;
All2C2F;Sandwich;1;10;2;1.726215034;0.987900019;0.92809999;0.736999989;0.664900005;;;;;;
Lip2C2F;LipC2F;1;10;2;1.755477915;0.983099997;0.905099988;0.667299986;0.582499981;;;;;;
All2C2F;Aol;123;10;2;0.463453072;0.817700028;0.643400013;0.479799986;0.452399999;;;;;;
All2C2F;Orthogon;123;10;2;1.745986696;0.975300014;0.882700026;0.642799973;0.565999985;;;;;;
All2C2F;Sandwich;123;10;2;1.727555279;0.986999989;0.927399993;0.734300017;0.672399998;;;;;;
Lip2C2F;LipC2F;123;10;2;1.755461685;0.984000027;0.896600008;0.632700026;0.548200011;;;;;;
All2C2F;Aol;296;10;2;0.477280998;0.819599986;0.638300002;0.469500005;0.439599991;;;;;;
All2C2F;Orthogon;296;10;2;1.776686662;0.974600017;0.885599971;0.661800027;0.584900022;;;;;;
All2C2F;Sandwich;296;10;2;1.707263294;0.987200022;0.927699983;0.736400008;0.666899979;;;;;;
Lip2C2F;LipC2F;296;10;2;1.771733007;0.98299998;0.902800024;0.648000002;0.56400001;;;;;;
All2C2F;Aol;1;10;4;0.885079368;0.879800022;0.708899975;0.500400007;0.452699989;;;;;;
All2C2F;Orthogon;1;10;4;2.960704462;0.986500025;0.895699978;0.563000023;0.459300011;;;;;;
All2C2F;Sandwich;1;10;4;2.979231311;0.992900014;0.925100029;0.639800012;0.552699983;;;;;;
Vanilla2C2F;Vanilla2C2F;1;10;4;105.1061498;0.99059999;0.691200018;0.317900002;0.289000005;;;;;;
Lip2C2F;LipC2F;1;10;4;3.135707212;0.988300025;0.871200025;0.440100014;0.341300011;;;;;;
All2C2F;Aol;123;10;4;0.861327295;0.877399981;0.704599977;0.506600022;0.461699992;;;;;;
All2C2F;Orthogon;123;10;4;2.875326055;0.986000001;0.888000011;0.543500006;0.441700011;;;;;;
All2C2F;Sandwich;123;10;4;2.897144615;0.992200017;0.925300002;0.652700007;0.571099997;;;;;;
Vanilla2C2F;Vanilla2C2F;123;10;4;103.1341757;0.990400016;0.632300019;0.318199992;0.294200003;;;;;;
Lip2C2F;LipC2F;123;10;4;3.191490667;0.989300013;0.865499973;0.388799995;0.297600001;;;;;;
All2C2F;Aol;296;10;4;0.928831428;0.879999995;0.690599978;0.474999994;0.428900003;;;;;;
All2C2F;Orthogon;296;10;4;3.038684812;0.986899972;0.888400018;0.546999991;0.455900013;;;;;;
All2C2F;Sandwich;296;10;4;2.9785771;0.993300021;0.926100016;0.649600029;0.566200018;;;;;;
Vanilla2C2F;Vanilla2C2F;296;10;4;107.0839104;0.990999997;0.61680001;0.307599992;0.283300012;;;;;;
Lip2C2F;LipC2F;296;10;4;3.224849366;0.987100005;0.870199978;0.413500011;0.3222;;;;;;
AllLeNet5;Aol;1;30;1;0.231687974;0.795099974;0.614000022;0.456900001;0.430799991;;;;;;
AllLeNet5;Aol;1;30;2;0.443573467;0.837899983;0.665099978;0.499599993;0.471599996;;;;;;
AllLeNet5;Aol;1;30;5;1.105709845;0.910300016;0.750500023;0.514500022;0.457399994;;;;;;
AllLeNet5;Aol;1;30;10;2.002647436;0.953100026;0.799300015;0.467000008;0.375999987;;;;;;
AllLeNet5;Aol;1;30;20;3.217075394;0.971300006;0.812699974;0.391900003;0.322899997;;;;;;
AllLeNet5;Aol;1;30;50;5.156598998;0.980799973;0.795400023;0.335799992;0.269699991;;;;;;
AllLeNet5;Aol;1;30;100;6.805423806;0.984300017;0.769900024;0.323700011;0.262600005;;;;;;
VanillaLeNet5;VanillaLeNet5;1;30;1;197.7411404;0.992500007;0.839600027;0.653900027;0.630299985;;;;;;
AllLeNet5;Aol;1;30;1;0.231687974;0.795099974;0.614000022;0.456900001;0.430799991;;;;;;
AllLeNet5;Aol;1;30;2;0.443573467;0.837899983;0.665099978;0.499599993;0.471599996;;;;;;
AllLeNet5;Aol;1;30;5;1.105709845;0.910300016;0.750500023;0.514500022;0.457399994;;;;;;
AllLeNet5;Aol;1;30;10;2.002647436;0.953100026;0.799300015;0.467000008;0.375999987;;;;;;
AllLeNet5;Aol;1;30;20;3.217075394;0.971300006;0.812699974;0.391900003;0.322899997;;;;;;
AllLeNet5;Aol;1;30;50;5.156598998;0.980799973;0.795400023;0.335799992;0.269699991;;;;;;
AllLeNet5;Aol;1;30;100;6.805423806;0.984300017;0.769900024;0.323700011;0.262600005;;;;;;
LipLeNet5;LipLeNet5;1;30;1;0.848224397;0.943199992;0.831099987;0.642799973;0.596000016;;;;;;
LipLeNet5;LipLeNet5;1;30;2;1.598494182;0.966600001;0.857800007;0.590600014;0.486600012;;;;;;
LipLeNet5;LipLeNet5;1;30;5;3.424358286;0.983699977;0.849399984;0.376300007;0.309599996;;;;;;
LipLeNet5;LipLeNet5;1;30;10;5.813027635;0.984799981;0.764400005;0.260100007;0.210099995;;;;;;
LipLeNet5;LipLeNet5;1;30;20;9.958371682;0.975600004;0.468600005;0.0902;0.067699999;;;;;;
LipLeNet5;LipLeNet5;1;30;50;16.1624699;0.984200001;0.536300004;0.127100006;0.1043;;;;;;
LipLeNet5;LipLeNet5;1;30;100;24.15899761;0.971800029;0.257200003;0.033500001;0.0261;;;;;;
VanillaLeNet5;VanillaLeNet5;1;30;100;197.7411404;0.992500007;0.839600027;0.653900027;0.630299985;;;;;;
LipLeNet5;LipLeNet5;1;1;1;0.828279301;0.830200016;0.617200017;0.375099987;0.31400001;;;;;;
LipLeNet5;LipLeNet5;1;1;2;1.606661017;0.866299987;0.61589998;0.246900007;0.1796;;;;;;
LipLeNet5;LipLeNet5;1;1;5;3.337099538;0.898100019;0.558000028;0.142499998;0.105899997;;;;;;
LipLeNet5;LipLeNet5;1;1;10;4.892772849;0.907700002;0.494399995;0.123000003;0.094599999;;;;;;
LipLeNet5;LipLeNet5;1;1;20;5.202412874;0.909799993;0.50029999;0.129500002;0.104000002;;;;;;
LipLeNet5;LipLeNet5;1;1;50;6.792938145;0.922999978;0.541400015;0.139799997;0.112000003;;;;;;
LipLeNet5;LipLeNet5;1;1;100;8.072373606;0.927699983;0.526199996;0.128199995;0.103500001;;;;;;
VanillaLeNet5;VanillaLeNet5;1;1;100;5.5431931;0.878300011;0.59829998;0.259600013;0.204400003;;;;;;
AllLeNet5;Aol;1;1;1;0.020825901;0.345099986;0.297800004;0.259799987;0.256000012;;;;;;
AllLeNet5;Aol;1;1;2;0.058232527;0.538200021;0.458099991;0.371300012;0.355100006;;;;;;
AllLeNet5;Aol;1;1;5;0.174704432;0.650399983;0.550000012;0.437299997;0.409200013;;;;;;
AllLeNet5;Aol;1;1;10;0.380588827;0.692799985;0.577400029;0.441599995;0.407799989;;;;;;
AllLeNet5;Aol;1;1;20;0.753994437;0.726800025;0.587499976;0.432099998;0.398600012;;;;;;
AllLeNet5;Aol;1;1;50;1.605740118;0.798699975;0.614199996;0.416700006;0.368400007;;;;;;
AllLeNet5;Aol;1;1;100;2.439165964;0.858699977;0.63349998;0.381599993;0.318599999;;;;;;
LipLeNet5;LipLeNet5;123;1;1;0.208200142;0.747600019;0.548699975;0.368000001;0.327499986;;;;;;
LipLeNet5;LipLeNet5;123;1;2;0.728468906;0.810400009;0.587700009;0.368000001;0.317900002;;;;;;
LipLeNet5;LipLeNet5;1;30;1;0.848224397;0.943199992;0.831099987;0.642799973;0.596000016;;;;;;
LipLeNet5;LipLeNet5;1;30;2;1.598494182;0.966600001;0.857800007;0.590600014;0.486600012;;;;;;
LipLeNet5;LipLeNet5;1;30;5;3.424358286;0.983699977;0.849399984;0.376300007;0.309599996;;;;;;
